0	0	3647
1	0	5744
2	0	5835
3	0	7388
4	1	341
5	1	4232
6	1	16544
7	2	2186
8	2	16139
9	3	160
10	3	574
11	3	17737
12	3	18161
13	4	394
14	4	17845
15	4	18075
16	5	96
17	5	162
18	5	619
19	5	17848
20	6	400
21	7	4507
22	7	9874
23	8	1560
24	9	3879
25	9	4981
26	10	165
27	10	17944
28	10	18077
29	11	289
30	11	1431
31	11	18078
32	12	9062
33	12	9682
34	12	12987
35	13	18118
36	14	123
37	14	175
38	14	9002
39	14	14188
40	15	575
41	15	1328
42	15	17709
43	16	8184
44	16	14331
45	16	14415
46	17	895
47	17	7076
48	17	17241
49	18	69
50	19	4814
51	19	10187
52	20	873
53	20	881
54	20	17867
55	21	911
56	21	18243
57	22	77
58	22	463
59	22	17797
60	22	18140
61	23	137
62	23	557
63	23	17829
64	23	18186
65	24	79
66	24	464
67	24	17830
68	24	18142
69	25	139
70	25	513
71	25	4867
72	26	7365
73	26	12873
74	27	327
75	27	429
76	27	17042
77	28	1553
78	28	7758
79	28	14821
80	29	866
81	29	15478
82	29	17893
83	30	14815
84	30	15185
85	31	273
86	31	376
87	31	754
88	32	192
89	32	18063
90	33	359
91	33	17724
92	34	35
93	34	569
94	34	8960
95	34	13916
96	35	2260
97	35	11284
98	36	7496
99	36	18256
100	37	383
101	37	17771
102	37	17839
103	38	280
104	38	18197
105	39	495
106	39	16906
107	39	17535
108	40	9055
109	40	9100
110	40	12015
111	41	90
112	41	6728
113	41	18261
114	42	44
115	42	91
116	42	13415
117	43	44
118	43	13375
119	43	18204
120	44	6732
121	45	16313
122	46	343
123	46	344
124	46	17939
125	46	18074
126	47	4395
127	47	9750
128	47	12439
129	48	2979
130	48	3618
131	49	290
132	49	409
133	49	18029
134	49	18166
135	50	293
136	51	450
137	52	1348
138	52	7011
139	53	2786
140	53	7990
141	54	1002
142	54	14874
143	55	119
144	55	362
145	55	11133
146	56	8691
147	56	12127
148	56	16623
149	57	1187
150	57	1528
151	57	17989
152	58	6444
153	58	8583
154	58	18004
155	59	1382
156	59	5048
157	59	17518
158	60	17700
159	60	17788
160	61	129
161	61	130
162	61	313
163	61	17865
164	62	550
165	63	5695
166	64	690
167	64	10681
168	64	17324
169	65	933
170	65	15902
171	66	67
172	66	424
173	66	11362
174	66	17707
175	67	256
176	67	18092
177	68	133
178	68	257
179	68	17957
180	69	316
181	69	18234
182	70	71
183	70	181
184	70	1151
185	70	16703
186	71	1094
187	72	2739
188	72	9736
189	73	15178
190	73	17340
191	74	3660
192	74	4870
193	74	5491
194	75	2676
195	75	7104
196	75	9869
197	76	217
198	76	602
199	76	911
200	76	17921
201	77	218
202	77	603
203	77	17875
204	78	138
205	78	17877
206	78	18141
207	79	219
208	79	17923
209	80	220
210	80	558
211	80	17878
212	80	18244
213	81	10278
214	81	17615
215	81	17925
216	82	2612
217	82	4234
218	83	190
219	83	1738
220	83	17881
221	84	12849
222	84	17770
223	85	5495
224	85	9842
225	86	145
226	86	569
227	86	9802
228	87	386
229	87	2587
230	87	18115
231	88	435
232	88	18200
233	89	3051
234	89	4426
235	89	7903
236	90	91
237	91	6730
238	91	13459
239	92	5906
240	92	12868
241	92	13972
242	93	2861
243	93	8399
244	93	13096
245	93	17054
246	94	344
247	94	345
248	94	18160
249	95	235
250	95	12838
251	95	17846
252	95	18211
253	96	161
254	96	657
255	96	17777
256	97	440
257	97	478
258	97	18021
259	97	18113
260	98	532
261	99	3239
262	100	4521
263	100	9279
264	100	10210
265	100	11755
266	101	8797
267	101	12882
268	101	13888
269	101	14985
270	102	3016
271	102	12971
272	102	14501
273	103	1475
274	103	2053
275	103	17500
276	104	4071
277	104	6553
278	105	106
279	106	291
280	106	484
281	106	17986
282	107	18168
283	108	292
284	108	486
285	108	17945
286	108	18080
287	109	449
288	109	583
289	109	18081
290	110	2272
291	110	13334
292	111	117
293	111	13708
294	112	201
295	112	626
296	112	17320
297	112	18215
298	113	336
299	113	10917
300	113	13896
301	114	4686
302	114	9412
303	114	15405
304	115	14267
305	115	15093
306	116	118
307	116	360
308	116	10588
309	117	120
310	118	9033
311	118	15109
312	118	15709
313	119	174
314	119	732
315	120	121
316	120	9616
317	120	17866
318	121	9677
319	121	10814
320	121	16726
321	122	124
322	122	595
323	122	11133
324	123	307
325	123	363
326	123	1342
327	123	17169
328	124	175
329	124	493
330	124	9198
331	125	1406
332	125	3058
333	125	7232
334	126	11138
335	126	11866
336	126	13164
337	127	17090
338	128	10863
339	129	312
340	129	365
341	129	18043
342	130	209
343	130	254
344	130	18086
345	131	132
346	131	15902
347	132	1446
348	132	7322
349	132	15075
350	133	500
351	133	17956
352	134	9137
353	134	9299
354	134	9674
355	135	16078
356	135	16130
357	136	568
358	136	1064
359	136	9157
360	136	16712
