1	2390796	2558439	15932
2	2400787	2543073	8928
3	2406944	2541381	8928
4	2407075	2742406	19280
5	2419395	2538773	15953
6	2424459	2519447	4887
7	2428571	2605617	20493
8	2441555	2530230	15173
9	2448293	2545808	2530
10	2448452	2546176	2530
11	2448770	2546911	2530
12	2448929	2547278	2530
13	2449246	2548013	2530
14	2449405	2548381	2530
15	2449564	2548748	2530
16	2449723	2549116	2530
17	2450040	2549851	2530
18	2450675	2551321	2530
19	2450834	2551689	2530
20	2451152	2552424	2530
21	2452456	2555279	2529
22	2453029	2556522	2529
23	2453601	2557766	2529
24	2454460	2559631	2529
25	2454747	2560253	2529
26	2455033	2560875	2529
27	2455319	2561497	2529
28	2456178	2563362	2529
29	2456751	2564606	2529
30	2457729	2566729	19503
31	2458421	2568231	19503
32	2458477	2741175	23153
33	2459113	2569732	19503
34	2459299	2597910	20316
35	2459655	2743429	23153
36	2459805	2571234	19503
37	2459908	2597771	20316
38	2460125	2744027	6840
39	2460497	2572736	19503
40	2460517	2597631	20316
41	2461127	2597492	20316
42	2461189	2574237	19503
43	2461736	2597352	20316
44	2461880	2575739	19503
45	2462345	2597213	20316
46	2462572	2577240	19503
47	2462954	2597073	20316
48	2463564	2596934	20316
49	2463956	2580244	19503
50	2464173	2596794	20316
51	2464648	2581745	19503
52	2464782	2596655	20316
53	2465340	2583247	19503
54	2465391	2596515	20316
55	2466032	2584748	19503
56	2466610	2596236	20316
57	2466723	2586250	19503
58	2467219	2596097	20316
59	2467828	2595957	20316
60	2468438	2595818	20316
61	2468799	2590755	19503
62	2469047	2595678	20316
63	2469491	2592256	19503
64	2469656	2595539	20316
65	2470183	2593758	19503
66	2470265	2595399	20316
67	2470684	2455010	8490
68	2476756	2601881	19228
69	2477140	2602882	19228
70	2477425	2602520	13104
71	2477524	2603882	19228
72	2477767	2597840	20241
73	2477805	2597631	20241
74	2477843	2597422	20241
75	2477881	2597213	20241
76	2477883	2603504	13104
77	2477908	2604883	19228
78	2477957	2596794	20241
79	2477995	2596585	20241
80	2478033	2596376	20241
81	2478071	2596166	20241
82	2478109	2595957	20241
83	2478147	2595748	20241
84	2478185	2595539	20241
85	2478223	2595329	20241
86	2478261	2595120	20241
87	2478292	2605883	19228
88	2478299	2594911	20241
89	2478337	2594702	20241
90	2478342	2604488	13104
91	2478375	2594492	20241
92	2478413	2594283	20241
93	2478451	2594074	20241
94	2478675	2606884	19228
95	2478800	2605471	13104
96	2479059	2607884	19228
97	2479259	2606455	13104
98	2479443	2608885	19228
99	2479717	2607439	13104
100	2479827	2609885	19228
101	2480176	2608422	13104
102	2480211	2610886	19228
